Nr	Race	UnitName	Fig	Me	Ra	Df	Re	Hp	Th	Move	RangedType	Shots	Gaze/Poison	Cost	Upkeep	Parm1	Parm2	Movement	Immunities	Attributes	Abilities	Attacks	TypeCode	Scout	Transport	Construction	
  0	Dwarven	Dwarf	  1	  9	   	  5	 10	 15	  	  3.0		   	   	  100	  2	  10	Fighter	Cavalry, Mountaineer					27849	  1	   	   	
  1	Barbarian	Barbarian	  1	  8	  5	  4	  5	 14	  	  3.0	Thrown Weapons	   	   	  100	  2	  17	Fighter	Cavalry	Cold Imm				27850	  1	   	   	
  2	High Men	Sage	  1	  1	 10	  4	  6	 10	  	  3.0	Sorcery Illusion	  4	   	  200	  3	  28	Wizard	Cavalry					27851	  1	   	   	
  3	High Men	Dervish	  1	  8	  8	  5	  5	 11	  	  3.0	Arrow	  8	   	  200	  2	   2	Bow	Cavalry					27852	  1	   	   	
  4	Beastmen	Beastmaster	  1	  7	  9	  5	  6	 12	  	  3.0	Arrow	  8	   	  200	  4	  18	Bow	Cavalry, Forester					27853	  2	   	   	
  5	High Men	Bard	  1	  8	   	  5	  6	 11	  	  3.0		   	  1	  200	  4	  22	Fighter	Cavalry		Holy Bonus			27854	  1	   	   	
  6	Orc	Orc Archer	  1	  7	  7	  6	  7	 12	  	  3.0	Arrow	  8	   	  200	  4	   6	Bow	Cavalry					27855	  1	   	   	
  7	High Men	Healer	  1	  3	 10	  6	  8	 10	  	  3.0	Nature Priest	  6	   	  200	  4	  30	Fighter Wizard	Cavalry			Healer		27856	  1	   	   	
  8	High Men	Huntress	  1	  4	 12	  5	  5	 12	  	  3.0	Arrow	  8	   	  200	  2	  31	Bow	Forester, Mountaineer					27857	  1	   	   	
  9	High Men	Thief	  1	  9	   	  4	  5	 12	  	  4.0		   	   	  500	  8	  32	Fighter	Cavalry					27858	  1	   	   	
 10	High Men	Druid	  1	  1	 10	  5	  5	 10	  	  3.0	Nature Green	  4	   	  200	  2	  12	Wizard	Cavalry			Purify		27859	  2	   	   	
 11	High Men	War Monk	  1	 10	   	  6	  5	 11	  	  3.0		   	   	  400	  6	  20	Fighter	Cavalry					27860	  1	   	   	
 12	High Men	Warrior Mage	  1	  8	  8	  6	  5	 12	  	  3.0	Chaos Fireball	  6	   	  200	  4	  26	Fighter Wizard	Cavalry					27861	  1	   	   	
 13	High Men	Magician	  1	  1	 12	  5	  8	 10	  	  3.0	Chaos Fireball	  6	   	  600	 10	  15	Wizard	Cavalry	Missiles Imm			Destruction	27862	  1	   	   	
 14	High Men	Assassin	  1	 10	   	  5	  5	 12	  	  4.0		   	  9	  400	  6	  33	Fighter	Cavalry				First Strike, Poison attack	27863	  1	   	   	
