Nr	Race	UnitName	Fig	Me	Ra	Df	Re	Hp	Th	Move	RangedType	Shots	Gaze/Poison	Cost	Upkeep	Parm1	Parm2	Movement	Immunities	Attributes	Abilities	Attacks	TypeCode	Scout	Transport	Construction	
  0	Dwarven	Dwarf	  1	  5	   	  4	 10	 10	  	  2.0		   	   	  100	  2	  10	Fighter	Cavalry, Mountaineer					27699	  1	   	   	
  1	Barbarian	Barbarian	  1	  5	  3	  3	  6	  9	  	  2.0	Thrown Weapons	   	   	  100	  2	  17	Fighter	Cavalry					27700	  1	   	   	
  2	High Men	Sage	  1	  1	  6	  4	  6	  5	  	  2.0	Sorcery Illusion	   	   	  100	  2	  28	Wizard	Cavalry					27701	  1	   	   	
  3	High Men	Dervish	  1	  4	  4	  4	  6	  6	  	  2.0	Arrow	  8	   	  100	  2	   2	Bow	Cavalry					27702	  1	   	   	
  4	Beastmen	Beastmaster	  1	  5	   	  4	  6	  7	  	  2.0		   	   	  100	  2	  18	Fighter	Cavalry, Forester					27703	  3	   	   	
  5	High Men	Bard	  1	  4	   	  5	  6	  6	  	  2.0		   	   	  100	  2	  22	Fighter	Cavalry					27704	  1	   	   	
  6	Orc	Orc Warrior	  1	  6	  3	  4	  6	  8	  	  2.0	Thrown Weapons	   	   	  100	  2	   6	Fighter	Cavalry, Mountaineer					27705	  1	   	   	
  7	High Men	Healer	  1	  3	  6	  5	  7	  5	  	  2.0	Nature Priest	   	   	  100	  2	  30	Fighter	Cavalry			Healer		27706	  1	   	   	
  8	High Men	Huntress	  1	  5	  4	  3	  6	  7	  	  2.0	Arrow	  8	   	  100	  2	  31	Bow	Forester, Mountaineer					27707	  1	   	   	
  9	High Men	Thief	  1	  5	   	  5	  6	  7	  	  2.0		   	   	  100	  2	  32	Fighter	Cavalry					27708	  1	   	   	
 10	High Men	Druid	  1	  1	  8	  5	  6	  5	  	  2.0	Nature Green	   	   	  150	  3	  12	Wizard	Cavalry			Purify		27709	  3	   	   	
 11	High Men	War Monk	  1	  6	   	  5	  6	  6	  	  2.0		   	   	  150	  3	  20	Fighter	Cavalry					27710	  1	   	   	
 12	High Men	Warrior Mage	  1	  4	  4	  4	  6	  7	  	  2.0	Chaos Fireball	   	   	  150	  3	  26	Fighter Wizard	Cavalry					27711	  1	   	   	
 13	High Men	Magician	  1	  1	  8	  5	 10	  5	  	  2.0	Chaos Fireball	   	   	  150	  3	  15	Wizard	Cavalry	Missiles Imm				27712	  1	   	   	
 14	High Men	Assassin	  1	  3	   	  5	  6	  6	  	  2.0		   	  5	  150	  3	  33	Fighter	Cavalry				Poison attack	27713	  1	   	   	
 15	High Men	Wind Mage	  1	  1	  6	  5	  6	  5	  	  2.0	Nature Icebolt	   	   	  200	  4	  19	Wizard	Cavalry	Missiles Imm		Wind Walking		27714	  1	   	   	
 16	High Men	Ranger	  1	  6	  5	  5	  6	  8	  	  2.0	Arrow	  8	   	  200	  4	  25	Bow	Cavalry, Forester, Mountaineer					27715	  2	   	   	
 17	Draconian	Draconian	  1	  7	  5	  5	  6	  8	  	  3.0	Fire Breath	   	   	  200	  4	   1	Fighter	Flying		Flyer			27716	  1	   	   	
 18	High Men	Witch	  1	  1	  8	  5	  6	  5	  	  2.0	Chaos Fireball	   	   	  200	  4	   3	Wizard	Cavalry	Missiles Imm				27717	  1	   	   	
 19	High Men	Golden One	  1	  6	  6	  6	  6	  6	  	  2.0	Chaos Fireball	   	   	  200	  4	  34	Fighter	Cavalry					27718	  1	   	   	
 20	High Men	Ninja	  1	  6	   	  5	  6	  7	  	  2.0		   	   	  300	  6	  29	Fighter	Cavalry			Invisibility		27719	  1	   	   	
 21	High Men	Rogue	  1	  7	   	  5	  6	  8	  	  2.0		   	   	  300	  6	   8	Fighter	Cavalry					27720	  1	   	   	
 22	High Men	Amazon	  1	  7	  4	  4	  6	  8	  	  2.0	Thrown Weapons	   	   	  300	  6	  13	Fighter	Cavalry					27721	  1	   	   	
